Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


Aditya Birla Sun Life Mutual Fund
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;37.5288;37.1535;37.5288;01-Oct-2014
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;37.6477;37.2712;37.6477;07-Oct-2014
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;37.7668;37.3891;37.7668;08-Oct-2014
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;37.6409;37.2645;37.6409;09-Oct-2014
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;37.6783;37.3015;37.6783;10-Oct-2014
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;37.7769;37.3991;37.7769;13-Oct-2014
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;37.8601;37.4815;37.8601;14-Oct-2014
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;37.9773;37.5975;37.9773;16-Oct-2014
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;37.9638;37.5842;37.9638;17-Oct-2014
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;38.0685;37.6878;38.0685;20-Oct-2014
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;38.1293;37.7480;38.1293;21-Oct-2014
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;38.1967;37.8147;38.1967;22-Oct-2014
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;38.3612;37.9776;38.3612;27-Oct-2014
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;38.4223;38.0381;38.4223;28-Oct-2014
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;38.4555;38.0709;38.4555;29-Oct-2014
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;38.5818;38.1960;38.5818;30-Oct-2014
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;38.7227;38.3355;38.7227;31-Oct-2014
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;38.8495;38.4610;38.8495;03-Nov-2014
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;39.0964;38.7054;39.0964;05-Nov-2014
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;39.0628;38.6722;39.0628;07-Nov-2014
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;39.1706;38.7789;39.1706;10-Nov-2014
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;39.1487;38.7572;39.1487;11-Nov-2014
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;39.2093;38.8172;39.2093;12-Nov-2014
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;39.0693;38.6786;39.0693;13-Nov-2014
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;39.0237;38.6335;39.0237;14-Nov-2014
