Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


Aditya Birla Sun Life Mutual Fund
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;41.6929;41.2760;41.6929;01-Jul-2015
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;41.7577;41.3401;41.7577;02-Jul-2015
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;41.8186;41.4004;41.8186;03-Jul-2015
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;42.0005;41.5805;42.0005;06-Jul-2015
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;41.9579;41.5383;41.9579;07-Jul-2015
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;41.9770;41.5572;41.9770;08-Jul-2015
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;41.9664;41.5467;41.9664;09-Jul-2015
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;41.9635;41.5439;41.9635;10-Jul-2015
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;41.7444;41.3270;41.7444;13-Jul-2015
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;41.8393;41.4209;41.8393;14-Jul-2015
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;41.8078;41.3897;41.8078;15-Jul-2015
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;41.8002;41.3822;41.8002;16-Jul-2015
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;41.8334;41.4151;41.8334;17-Jul-2015
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;41.8325;41.4142;41.8325;20-Jul-2015
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;41.8302;41.4119;41.8302;21-Jul-2015
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;41.8575;41.4389;41.8575;22-Jul-2015
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;41.9141;41.4950;41.9141;23-Jul-2015
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;41.8938;41.4749;41.8938;24-Jul-2015
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;41.9399;41.5205;41.9399;27-Jul-2015
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;42.1299;41.7086;42.1299;28-Jul-2015
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;42.1526;41.7311;42.1526;29-Jul-2015
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;42.1118;41.6907;42.1118;30-Jul-2015
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;42.1802;41.7584;42.1802;31-Jul-2015
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;42.2181;41.7959;42.2181;03-Aug-2015
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;42.1431;41.7217;42.1431;04-Aug-2015
