Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


Aditya Birla Sun Life Mutual Fund
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;44.9132;44.9132;44.9132;04-Apr-2016
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;44.9488;44.9488;44.9488;05-Apr-2016
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;44.9937;44.9937;44.9937;06-Apr-2016
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;45.1813;45.1813;45.1813;07-Apr-2016
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;45.2948;45.2948;45.2948;11-Apr-2016
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;45.4257;45.4257;45.4257;12-Apr-2016
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;45.2917;45.2917;45.2917;13-Apr-2016
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;45.3624;45.3624;45.3624;18-Apr-2016
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;45.3711;45.3711;45.3711;20-Apr-2016
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;45.2624;45.2624;45.2624;21-Apr-2016
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;45.3143;45.3143;45.3143;22-Apr-2016
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;45.2606;45.2606;45.2606;25-Apr-2016
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;45.2827;45.2827;45.2827;26-Apr-2016
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;45.3190;45.3190;45.3190;27-Apr-2016
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;45.3181;45.3181;45.3181;28-Apr-2016
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;45.3885;45.3885;45.3885;29-Apr-2016
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;45.4032;45.4032;45.4032;02-May-2016
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;45.3545;45.3545;45.3545;03-May-2016
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;45.4057;45.4057;45.4057;04-May-2016
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;45.4145;45.4145;45.4145;05-May-2016
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;45.4104;45.4104;45.4104;06-May-2016
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;45.4547;45.4547;45.4547;09-May-2016
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;45.4628;45.4628;45.4628;10-May-2016
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;45.4790;45.4790;45.4790;11-May-2016
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;45.5052;45.5052;45.5052;12-May-2016
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;45.4703;45.4703;45.4703;13-May-2016
