Scheme Code;Scheme Name;NAV;Date;Posting Message
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;36.2544;02-Jul-2013;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;36.1704;03-Jul-2013;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;36.3485;04-Jul-2013;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;36.2719;05-Jul-2013;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;36.1542;08-Jul-2013;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;36.2417;09-Jul-2013;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;36.2792;10-Jul-2013;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;36.4059;11-Jul-2013;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;36.2969;12-Jul-2013;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;36.3227;15-Jul-2013;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;35.2174;16-Jul-2013;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;35.2278;17-Jul-2013;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;35.3670;18-Jul-2013;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;35.4504;19-Jul-2013;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;35.1574;22-Jul-2013;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;34.9774;23-Jul-2013;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;34.5057;24-Jul-2013;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;34.8688;25-Jul-2013;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;34.9080;26-Jul-2013;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;34.9384;29-Jul-2013;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;34.5996;30-Jul-2013;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;34.7111;31-Jul-2013;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;34.9603;01-Aug-2013;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;34.5831;02-Aug-2013;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;34.7354;05-Aug-2013;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;34.7028;06-Aug-2013;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;34.7428;07-Aug-2013;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;34.8340;08-Aug-2013;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;34.3734;12-Aug-2013;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;34.0969;13-Aug-2013;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;33.9739;14-Aug-2013;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;33.3108;16-Aug-2013;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;32.7641;19-Aug-2013;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;33.3862;20-Aug-2013;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;34.3529;21-Aug-2013;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;34.7387;22-Aug-2013;Data inserted successfully into database
