Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


Franklin Templeton Mutual Fund
118552;Franklin India Corporate Bond Opportunities Fund - Direct - Dividend;10.6912;10.3705;10.6912;02-Apr-2013
118552;Franklin India Corporate Bond Opportunities Fund - Direct - Dividend;10.6988;10.3778;10.6988;03-Apr-2013
118552;Franklin India Corporate Bond Opportunities Fund - Direct - Dividend;10.7099;10.3886;10.7099;04-Apr-2013
118552;Franklin India Corporate Bond Opportunities Fund - Direct - Dividend;10.7131;10.3917;10.7131;05-Apr-2013
118552;Franklin India Corporate Bond Opportunities Fund - Direct - Dividend;10.7230;10.4013;10.7230;08-Apr-2013
118552;Franklin India Corporate Bond Opportunities Fund - Direct - Dividend;10.7261;10.4043;10.7261;09-Apr-2013
118552;Franklin India Corporate Bond Opportunities Fund - Direct - Dividend;10.7301;10.4082;10.7301;10-Apr-2013
118552;Franklin India Corporate Bond Opportunities Fund - Direct - Dividend;10.7399;10.4177;10.7399;12-Apr-2013
118552;Franklin India Corporate Bond Opportunities Fund - Direct - Dividend;10.7515;10.4290;10.7515;15-Apr-2013
118552;Franklin India Corporate Bond Opportunities Fund - Direct - Dividend;10.7626;10.4397;10.7626;16-Apr-2013
118552;Franklin India Corporate Bond Opportunities Fund - Direct - Dividend;10.7679;10.4449;10.7679;17-Apr-2013
118552;Franklin India Corporate Bond Opportunities Fund - Direct - Dividend;10.7829;10.4594;10.7829;18-Apr-2013
118552;Franklin India Corporate Bond Opportunities Fund - Direct - Dividend;10.7935;10.4697;10.7935;22-Apr-2013
118552;Franklin India Corporate Bond Opportunities Fund - Direct - Dividend;10.7992;10.4752;10.7992;23-Apr-2013
118552;Franklin India Corporate Bond Opportunities Fund - Direct - Dividend;10.8077;10.4835;10.8077;25-Apr-2013
118552;Franklin India Corporate Bond Opportunities Fund - Direct - Dividend;10.8107;10.4864;10.8107;26-Apr-2013
118552;Franklin India Corporate Bond Opportunities Fund - Direct - Dividend;10.8205;10.4959;10.8205;29-Apr-2013
118552;Franklin India Corporate Bond Opportunities Fund - Direct - Dividend;10.8358;10.5107;10.8358;30-Apr-2013
118552;Franklin India Corporate Bond Opportunities Fund - Direct - Dividend;10.8603;10.5345;10.8603;02-May-2013
118552;Franklin India Corporate Bond Opportunities Fund - Direct - Dividend;10.8608;10.5350;10.8608;03-May-2013
118552;Franklin India Corporate Bond Opportunities Fund - Direct - Dividend;10.8770;10.5507;10.8770;06-May-2013
118552;Franklin India Corporate Bond Opportunities Fund - Direct - Dividend;10.8780;10.5517;10.8780;07-May-2013
118552;Franklin India Corporate Bond Opportunities Fund - Direct - Dividend;10.8905;10.5638;10.8905;08-May-2013
118552;Franklin India Corporate Bond Opportunities Fund - Direct - Dividend;10.9066;10.5794;10.9066;09-May-2013
118552;Franklin India Corporate Bond Opportunities Fund - Direct - Dividend;10.9087;10.5814;10.9087;10-May-2013
118552;Franklin India Corporate Bond Opportunities Fund - Direct - Dividend;10.9164;10.5889;10.9164;13-May-2013
118552;Franklin India Corporate Bond Opportunities Fund - Direct - Dividend;10.9441;10.6158;10.9441;14-May-2013
118552;Franklin India Corporate Bond Opportunities Fund - Direct - Dividend;10.9599;10.6311;10.9599;15-May-2013
118552;Franklin India Corporate Bond Opportunities Fund - Direct - Dividend;10.9625;10.6336;10.9625;16-May-2013
