Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


Franklin Templeton Mutual Fund
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.2500;10.1988;10.2500;02-Jul-2014
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.2509;10.1996;10.2509;03-Jul-2014
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.2580;10.2067;10.2580;04-Jul-2014
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.2651;10.2138;10.2651;07-Jul-2014
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.2608;10.2095;10.2608;08-Jul-2014
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.2627;10.2114;10.2627;09-Jul-2014
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.2563;10.2050;10.2563;10-Jul-2014
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.2346;10.1834;10.2346;11-Jul-2014
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.2305;10.1793;10.2305;14-Jul-2014
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.2391;10.1879;10.2391;15-Jul-2014
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.2479;10.1967;10.2479;16-Jul-2014
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.2510;10.1997;10.2510;17-Jul-2014
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.2513;10.2;10.2513;18-Jul-2014
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.2663;10.2150;10.2663;21-Jul-2014
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.2769;10.2255;10.2769;22-Jul-2014
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.2851;10.2337;10.2851;23-Jul-2014
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.2925;10.241;10.2925;24-Jul-2014
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.2924;10.2409;10.2924;25-Jul-2014
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.2937;10.2422;10.2937;28-Jul-2014
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.2907;10.2392;10.2907;30-Jul-2014
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.2941;10.2426;10.2941;31-Jul-2014
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.2921;10.2406;10.2921;01-Aug-2014
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.3009;10.2494;10.3009;04-Aug-2014
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.289;10.2376;10.289;05-Aug-2014
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.2832;10.2318;10.2832;06-Aug-2014
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.2815;10.2301;10.2815;07-Aug-2014
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.2782;10.2268;10.2782;08-Aug-2014
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.294;10.2425;10.294;11-Aug-2014
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.2977;10.2462;10.2977;12-Aug-2014
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.3057;10.2542;10.3057;13-Aug-2014
