Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


Franklin Templeton Mutual Fund
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.4748;10.4224;10.4748;01-Jan-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.469;10.4167;10.469;02-Jan-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.4777;10.4253;10.4777;05-Jan-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.4758;10.4234;10.4758;06-Jan-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.4826;10.4302;10.4826;07-Jan-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.4885;10.4361;10.4885;08-Jan-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.4925;10.4400;10.4925;09-Jan-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.5161;10.4635;10.5161;12-Jan-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.5288;10.4762;10.5288;13-Jan-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.5262;10.4736;10.5262;14-Jan-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.5467;10.4940;10.5467;15-Jan-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.5655;10.5127;10.5655;16-Jan-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.5711;10.5182;10.5711;19-Jan-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.5634;10.5106;10.5634;20-Jan-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.5675;10.5147;10.5675;21-Jan-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.5730;10.5201;10.5730;22-Jan-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.5759;10.5230;10.5759;23-Jan-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.5871;10.5342;10.5871;27-Jan-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.5921;10.5391;10.5921;28-Jan-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.5926;10.5396;10.5926;29-Jan-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.5937;10.5407;10.5937;30-Jan-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.5988;10.5458;10.5988;02-Feb-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.6033;10.5503;10.6033;03-Feb-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.589;10.5361;10.589;04-Feb-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.5912;10.5382;10.5912;05-Feb-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.5890;10.5361;10.5890;06-Feb-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.5845;10.5316;10.5845;09-Feb-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.5870;10.5341;10.5870;10-Feb-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.5907;10.5377;10.5907;11-Feb-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.5914;10.5384;10.5914;12-Feb-2015
