Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


Franklin Templeton Mutual Fund
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.5510;10.4982;10.5510;01-Oct-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.5651;10.5123;10.5651;05-Oct-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.5674;10.5146;10.5674;06-Oct-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.5653;10.5125;10.5653;07-Oct-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.5756;10.5227;10.5756;08-Oct-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.5802;10.5273;10.5802;09-Oct-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.5809;10.5280;10.5809;12-Oct-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.5832;10.5303;10.5832;13-Oct-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.5873;10.5344;10.5873;14-Oct-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.5878;10.5349;10.5878;15-Oct-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.5941;10.5411;10.5941;16-Oct-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.6007;10.5477;10.6007;19-Oct-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.6034;10.5504;10.6034;20-Oct-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.6026;10.5496;10.6026;21-Oct-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.6130;10.5599;10.6130;23-Oct-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.6140;10.5609;10.6140;26-Oct-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.6155;10.5624;10.6155;27-Oct-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.6226;10.5695;10.6226;28-Oct-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.6166;10.5635;10.6166;29-Oct-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.6184;10.5653;10.6184;30-Oct-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.6222;10.5691;10.6222;02-Nov-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.6246;10.5715;10.6246;03-Nov-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.6251;10.572;10.6251;04-Nov-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.6252;10.5721;10.6252;05-Nov-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.6266;10.5735;10.6266;06-Nov-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.6204;10.5673;10.6204;09-Nov-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.6282;10.5751;10.6282;10-Nov-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.6425;10.5893;10.6425;13-Nov-2015
129009;Franklin India Banking & PSU Debt Fund - Direct - Dividend;10.6480;10.5948;10.6480;16-Nov-2015
