Scheme Code;Scheme Name;NAV;Date;Posting Message
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;43.2877;01-Jan-2016;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;43.3222;04-Jan-2016;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;43.3374;05-Jan-2016;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;43.3564;06-Jan-2016;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;43.3778;07-Jan-2016;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;43.3997;08-Jan-2016;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;43.3714;11-Jan-2016;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;43.3454;12-Jan-2016;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;43.2584;13-Jan-2016;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;43.1451;14-Jan-2016;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;42.9455;15-Jan-2016;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;42.9340;18-Jan-2016;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;42.9559;19-Jan-2016;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;43.0496;20-Jan-2016;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;43.2890;21-Jan-2016;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;43.1348;22-Jan-2016;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;43.0243;25-Jan-2016;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;43.0360;27-Jan-2016;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;42.9203;28-Jan-2016;Data inserted successfully into database
120533;Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan;42.9087;29-Jan-2016;Data inserted successfully into database
