Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


HDFC Mutual Fund
105548;HDFC Cash Management Fund Treasury Advantage - Retail Plan Daily Dividend Option;10.0315;10.0315;10.0315;02-Jul-2013
105548;HDFC Cash Management Fund Treasury Advantage - Retail Plan Daily Dividend Option;10.0315;10.0315;10.0315;03-Jul-2013
105548;HDFC Cash Management Fund Treasury Advantage - Retail Plan Daily Dividend Option;10.0315;10.0315;10.0315;04-Jul-2013
105548;HDFC Cash Management Fund Treasury Advantage - Retail Plan Daily Dividend Option;10.0315;10.0315;10.0315;05-Jul-2013
105548;HDFC Cash Management Fund Treasury Advantage - Retail Plan Daily Dividend Option;10.0315;10.0315;10.0315;08-Jul-2013
105548;HDFC Cash Management Fund Treasury Advantage - Retail Plan Daily Dividend Option;10.0315;10.0315;10.0315;09-Jul-2013
105548;HDFC Cash Management Fund Treasury Advantage - Retail Plan Daily Dividend Option;10.0315;10.0315;10.0315;10-Jul-2013
105548;HDFC Cash Management Fund Treasury Advantage - Retail Plan Daily Dividend Option;10.0315;10.0315;10.0315;11-Jul-2013
105548;HDFC Cash Management Fund Treasury Advantage - Retail Plan Daily Dividend Option;10.0315;10.0315;10.0315;12-Jul-2013
105548;HDFC Cash Management Fund Treasury Advantage - Retail Plan Daily Dividend Option;10.0315;10.0315;10.0315;15-Jul-2013
105548;HDFC Cash Management Fund Treasury Advantage - Retail Plan Daily Dividend Option;9.9665;9.9665;9.9665;16-Jul-2013
105548;HDFC Cash Management Fund Treasury Advantage - Retail Plan Daily Dividend Option;9.9764;9.9764;9.9764;17-Jul-2013
105548;HDFC Cash Management Fund Treasury Advantage - Retail Plan Daily Dividend Option;9.9913;9.9913;9.9913;18-Jul-2013
105548;HDFC Cash Management Fund Treasury Advantage - Retail Plan Daily Dividend Option;9.9947;9.9947;9.9947;19-Jul-2013
105548;HDFC Cash Management Fund Treasury Advantage - Retail Plan Daily Dividend Option;9.9992;9.9992;9.9992;22-Jul-2013
105548;HDFC Cash Management Fund Treasury Advantage - Retail Plan Daily Dividend Option;9.9848;9.9848;9.9848;23-Jul-2013
105548;HDFC Cash Management Fund Treasury Advantage - Retail Plan Daily Dividend Option;9.9607;9.9607;9.9607;24-Jul-2013
105548;HDFC Cash Management Fund Treasury Advantage - Retail Plan Daily Dividend Option;9.9662;9.9662;9.9662;25-Jul-2013
105548;HDFC Cash Management Fund Treasury Advantage - Retail Plan Daily Dividend Option;9.971;9.971;9.971;26-Jul-2013
105548;HDFC Cash Management Fund Treasury Advantage - Retail Plan Daily Dividend Option;9.9782;9.9782;9.9782;29-Jul-2013
105548;HDFC Cash Management Fund Treasury Advantage - Retail Plan Daily Dividend Option;9.9812;9.9812;9.9812;30-Jul-2013
105548;HDFC Cash Management Fund Treasury Advantage - Retail Plan Daily Dividend Option;9.9827;9.9827;9.9827;31-Jul-2013
105548;HDFC Cash Management Fund Treasury Advantage - Retail Plan Daily Dividend Option;9.9865;9.9865;9.9865;01-Aug-2013
105548;HDFC Cash Management Fund Treasury Advantage - Retail Plan Daily Dividend Option;9.9908;9.9908;9.9908;02-Aug-2013
105548;HDFC Cash Management Fund Treasury Advantage - Retail Plan Daily Dividend Option;10.0005;10.0005;10.0005;05-Aug-2013
