Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


HDFC Mutual Fund
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.0332;10.0081;10.0332;02-Apr-2014
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.0365;10.0114;10.0365;03-Apr-2014
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.0402;10.0151;10.0402;04-Apr-2014
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.0477;10.0226;10.0477;07-Apr-2014
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.052;10.0269;10.052;09-Apr-2014
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.0542;10.0291;10.0542;10-Apr-2014
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.0567;10.0316;10.0567;11-Apr-2014
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.0658;10.0406;10.0658;15-Apr-2014
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.0689;10.0437;10.0689;16-Apr-2014
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.0715;10.0463;10.0715;17-Apr-2014
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.0807;10.0555;10.0807;21-Apr-2014
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.0828;10.0576;10.0828;22-Apr-2014
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.0849;10.0597;10.0849;23-Apr-2014
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.0896;10.0644;10.0896;25-Apr-2014
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.0968;10.0716;10.0968;28-Apr-2014
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.0518;10.0267;10.0518;29-Apr-2014
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.0528;10.0277;10.0528;30-Apr-2014
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.058;10.0329;10.058;02-May-2014
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.0655;10.0403;10.0655;05-May-2014
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.0525;10.0274;10.0525;06-May-2014
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.0550;10.0299;10.0550;07-May-2014
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.0574;10.0323;10.0574;08-May-2014
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.0599;10.0348;10.0599;09-May-2014
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.0674;10.0422;10.0674;12-May-2014
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.0525;10.0274;10.0525;13-May-2014
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.0578;10.0327;10.0578;15-May-2014
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.0610;10.0358;10.0610;16-May-2014
