Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


HDFC Mutual Fund
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.1986;10.1986;10.1986;03-Oct-2016
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.1896;10.1896;10.1896;04-Oct-2016
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.2190;10.2190;10.2190;05-Oct-2016
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.2289;10.2289;10.2289;06-Oct-2016
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.2256;10.2256;10.2256;07-Oct-2016
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.2409;10.2409;10.2409;10-Oct-2016
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.2244;10.2244;10.2244;13-Oct-2016
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.2143;10.2143;10.2143;14-Oct-2016
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.2153;10.2153;10.2153;17-Oct-2016
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.2238;10.2238;10.2238;18-Oct-2016
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.2303;10.2303;10.2303;19-Oct-2016
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.2310;10.2310;10.2310;20-Oct-2016
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.2317;10.2317;10.2317;21-Oct-2016
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.2377;10.2377;10.2377;24-Oct-2016
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.2211;10.2211;10.2211;25-Oct-2016
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.2224;10.2224;10.2224;26-Oct-2016
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.2222;10.2222;10.2222;27-Oct-2016
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.2254;10.2254;10.2254;28-Oct-2016
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.2338;10.2338;10.2338;01-Nov-2016
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.2259;10.2259;10.2259;02-Nov-2016
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.2274;10.2274;10.2274;03-Nov-2016
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.2259;10.2259;10.2259;04-Nov-2016
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.2307;10.2307;10.2307;07-Nov-2016
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.2208;10.2208;10.2208;08-Nov-2016
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.2486;10.2486;10.2486;09-Nov-2016
128626;HDFC BANKING AND PSU DEBT FUND - Direct Plan - Dividend Option;10.2587;10.2587;10.2587;10-Nov-2016
