Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


ICICI Prudential Mutual Fund
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0679;10.0427;10.0679;01-Jan-2015
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0668;10.0416;10.0668;02-Jan-2015
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0679;10.0427;10.0679;05-Jan-2015
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0644;10.0392;10.0644;06-Jan-2015
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0679;10.0427;10.0679;07-Jan-2015
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0679;10.0427;10.0679;08-Jan-2015
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0679;10.0427;10.0679;09-Jan-2015
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0719;10.0467;10.0719;12-Jan-2015
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0777;10.0525;10.0777;13-Jan-2015
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0766;10.0514;10.0766;14-Jan-2015
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0944;10.0692;10.0944;15-Jan-2015
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.1092;10.0839;10.1092;16-Jan-2015
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.1103;10.0850;10.1103;19-Jan-2015
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.1079;10.0826;10.1079;20-Jan-2015
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.1089;10.0836;10.1089;21-Jan-2015
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.1091;10.0838;10.1091;22-Jan-2015
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.1097;10.0844;10.1097;23-Jan-2015
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.1101;10.0848;10.1101;27-Jan-2015
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.1128;10.0875;10.1128;28-Jan-2015
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.1076;10.0823;10.1076;29-Jan-2015
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.1096;10.0843;10.1096;30-Jan-2015
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0973;10.0721;10.0973;02-Feb-2015
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0918;10.0666;10.0918;03-Feb-2015
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0847;10.0595;10.0847;04-Feb-2015
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0842;10.0590;10.0842;05-Feb-2015
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0770;10.0518;10.0770;06-Feb-2015
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0763;10.0511;10.0763;09-Feb-2015
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0682;10.0430;10.0682;10-Feb-2015
