Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


ICICI Prudential Mutual Fund
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0706;10.0706;10.0706;01-Jul-2016
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0689;10.0689;10.0689;04-Jul-2016
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0843;10.0843;10.0843;05-Jul-2016
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0872;10.0872;10.0872;07-Jul-2016
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0856;10.0856;10.0856;08-Jul-2016
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0876;10.0876;10.0876;11-Jul-2016
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.1048;10.1048;10.1048;12-Jul-2016
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.1201;10.1201;10.1201;13-Jul-2016
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.1149;10.1149;10.1149;14-Jul-2016
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.1142;10.1142;10.1142;15-Jul-2016
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.1103;10.1103;10.1103;18-Jul-2016
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.1166;10.1166;10.1166;19-Jul-2016
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.1231;10.1231;10.1231;20-Jul-2016
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.1232;10.1232;10.1232;21-Jul-2016
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.1116;10.1116;10.1116;22-Jul-2016
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.1140;10.1140;10.1140;25-Jul-2016
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.1197;10.1197;10.1197;26-Jul-2016
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.1169;10.1169;10.1169;27-Jul-2016
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.1324;10.1324;10.1324;28-Jul-2016
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.1362;10.1362;10.1362;29-Jul-2016
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.1435;10.1435;10.1435;01-Aug-2016
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.1390;10.1390;10.1390;02-Aug-2016
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.1324;10.1324;10.1324;03-Aug-2016
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.1292;10.1292;10.1292;04-Aug-2016
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.1353;10.1353;10.1353;05-Aug-2016
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.1352;10.1352;10.1352;08-Aug-2016
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.1472;10.1472;10.1472;09-Aug-2016
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.1573;10.1573;10.1573;10-Aug-2016
