Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


ICICI Prudential Mutual Fund
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0700;10.0700;10.0700;03-Apr-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0700;10.0700;10.0700;05-Apr-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0318;10.0318;10.0318;06-Apr-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0251;10.0251;10.0251;07-Apr-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0292;10.0292;10.0292;10-Apr-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0502;10.0502;10.0502;11-Apr-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0645;10.0645;10.0645;12-Apr-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0700;10.0700;10.0700;13-Apr-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0700;10.0700;10.0700;17-Apr-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0700;10.0700;10.0700;18-Apr-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0700;10.0700;10.0700;19-Apr-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0700;10.0700;10.0700;20-Apr-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0544;10.0544;10.0544;21-Apr-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0583;10.0583;10.0583;24-Apr-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0685;10.0685;10.0685;25-Apr-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0564;10.0564;10.0564;26-Apr-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0577;10.0577;10.0577;27-Apr-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0550;10.0550;10.0550;28-Apr-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0541;10.0541;10.0541;02-May-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0580;10.0580;10.0580;03-May-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0577;10.0577;10.0577;04-May-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0653;10.0653;10.0653;05-May-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0710;10.0710;10.0710;08-May-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0710;10.0710;10.0710;09-May-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0710;10.0710;10.0710;11-May-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0710;10.0710;10.0710;12-May-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0710;10.0710;10.0710;15-May-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0656;10.0656;10.0656;16-May-2017
