Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


ICICI Prudential Mutual Fund
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0679;10.0679;10.0679;03-Oct-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0550;10.0550;10.0550;04-Oct-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0459;10.0459;10.0459;05-Oct-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0408;10.0408;10.0408;06-Oct-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0392;10.0392;10.0392;09-Oct-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0477;10.0477;10.0477;10-Oct-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0511;10.0511;10.0511;11-Oct-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0517;10.0517;10.0517;12-Oct-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0642;10.0642;10.0642;13-Oct-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0679;10.0679;10.0679;16-Oct-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0647;10.0647;10.0647;17-Oct-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0677;10.0677;10.0677;18-Oct-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0637;10.0637;10.0637;23-Oct-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0679;10.0679;10.0679;24-Oct-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0661;10.0661;10.0661;25-Oct-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0679;10.0679;10.0679;26-Oct-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0679;10.0679;10.0679;27-Oct-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0567;10.0567;10.0567;30-Oct-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0634;10.0634;10.0634;31-Oct-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0612;10.0612;10.0612;01-Nov-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0679;10.0679;10.0679;02-Nov-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0679;10.0679;10.0679;03-Nov-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0656;10.0656;10.0656;06-Nov-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0619;10.0619;10.0619;07-Nov-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0622;10.0622;10.0622;08-Nov-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0638;10.0638;10.0638;09-Nov-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0614;10.0614;10.0614;10-Nov-2017
112343;ICICI Prudential Banking and PSU Debt Fund -  Daily Dividend;10.0631;10.0631;10.0631;13-Nov-2017
