Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


Kotak Mahindra Mutual Fund
119735;Kotak Bond - Growth - Direct;33.974;33.6343;33.974;02-Apr-2013
119735;Kotak Bond - Growth - Direct;34.0225;33.6823;34.0225;03-Apr-2013
119735;Kotak Bond - Growth - Direct;34.0568;33.7162;34.0568;04-Apr-2013
119735;Kotak Bond - Growth - Direct;34.0875;33.7466;34.0875;05-Apr-2013
119735;Kotak Bond - Growth - Direct;34.1602;33.8186;34.1602;08-Apr-2013
119735;Kotak Bond - Growth - Direct;34.2064;33.8643;34.2064;09-Apr-2013
119735;Kotak Bond - Growth - Direct;34.2157;33.8735;34.2157;10-Apr-2013
119735;Kotak Bond - Growth - Direct;34.2886;33.9457;34.2886;12-Apr-2013
119735;Kotak Bond - Growth - Direct;34.3838;34.04;34.3838;15-Apr-2013
119735;Kotak Bond - Growth - Direct;34.4271;34.0828;34.4271;16-Apr-2013
119735;Kotak Bond - Growth - Direct;34.4814;34.1366;34.4814;17-Apr-2013
119735;Kotak Bond - Growth - Direct;34.5565;34.2109;34.5565;18-Apr-2013
119735;Kotak Bond - Growth - Direct;34.6244;34.2782;34.6244;22-Apr-2013
119735;Kotak Bond - Growth - Direct;34.6603;34.3137;34.6603;23-Apr-2013
119735;Kotak Bond - Growth - Direct;34.6313;34.285;34.6313;25-Apr-2013
119735;Kotak Bond - Growth - Direct;34.6734;34.3267;34.6734;26-Apr-2013
119735;Kotak Bond - Growth - Direct;34.6829;34.3361;34.6829;29-Apr-2013
119735;Kotak Bond - Growth - Direct;34.7347;34.3874;34.7347;30-Apr-2013
119735;Kotak Bond - Growth - Direct;34.782;34.4342;34.782;02-May-2013
119735;Kotak Bond - Growth - Direct;34.7556;34.408;34.7556;03-May-2013
119735;Kotak Bond - Growth - Direct;34.7948;34.4469;34.7948;06-May-2013
119735;Kotak Bond - Growth - Direct;34.8357;34.4873;34.8357;07-May-2013
119735;Kotak Bond - Growth - Direct;34.9682;34.6185;34.9682;08-May-2013
119735;Kotak Bond - Growth - Direct;35.1848;34.833;35.1848;09-May-2013
119735;Kotak Bond - Growth - Direct;35.2113;34.8592;35.2113;10-May-2013
119735;Kotak Bond - Growth - Direct;35.2523;34.8998;35.2523;13-May-2013
119735;Kotak Bond - Growth - Direct;35.5196;35.1644;35.5196;14-May-2013
119735;Kotak Bond - Growth - Direct;35.6208;35.2646;35.6208;15-May-2013
119735;Kotak Bond - Growth - Direct;35.7139;35.3568;35.7139;16-May-2013
119735;Kotak Bond - Growth - Direct;35.6965;35.3395;35.6965;17-May-2013
119735;Kotak Bond - Growth - Direct;35.8037;35.4457;35.8037;20-May-2013
119735;Kotak Bond - Growth - Direct;35.8298;35.4715;35.8298;21-May-2013
119735;Kotak Bond - Growth - Direct;35.8005;35.4425;35.8005;22-May-2013
119735;Kotak Bond - Growth - Direct;35.7793;35.4215;35.7793;23-May-2013
119735;Kotak Bond - Growth - Direct;35.8539;35.4954;35.8539;24-May-2013
119735;Kotak Bond - Growth - Direct;35.8791;35.5203;35.8791;27-May-2013
119735;Kotak Bond - Growth - Direct;35.8663;35.5076;35.8663;28-May-2013
119735;Kotak Bond - Growth - Direct;35.7941;35.4362;35.7941;29-May-2013
119735;Kotak Bond - Growth - Direct;35.738;35.3806;35.738;30-May-2013
