Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


Kotak Mahindra Mutual Fund
123688;Kotak Banking and PSU Debt - Annual Dividend;16.1462;16.1462;16.1462;01-Oct-2014
123688;Kotak Banking and PSU Debt - Annual Dividend;16.1674;16.1674;16.1674;07-Oct-2014
123688;Kotak Banking and PSU Debt - Annual Dividend;16.1714;16.1714;16.1714;08-Oct-2014
123688;Kotak Banking and PSU Debt - Annual Dividend;16.1752;16.1752;16.1752;09-Oct-2014
123688;Kotak Banking and PSU Debt - Annual Dividend;16.1793;16.1793;16.1793;10-Oct-2014
123688;Kotak Banking and PSU Debt - Annual Dividend;16.1904;16.1904;16.1904;13-Oct-2014
123688;Kotak Banking and PSU Debt - Annual Dividend;16.1933;16.1933;16.1933;14-Oct-2014
123688;Kotak Banking and PSU Debt - Annual Dividend;16.2006;16.2006;16.2006;16-Oct-2014
123688;Kotak Banking and PSU Debt - Annual Dividend;16.2047;16.2047;16.2047;17-Oct-2014
123688;Kotak Banking and PSU Debt - Annual Dividend;16.2157;16.2157;16.2157;20-Oct-2014
123688;Kotak Banking and PSU Debt - Annual Dividend;16.2193;16.2193;16.2193;21-Oct-2014
123688;Kotak Banking and PSU Debt - Annual Dividend;16.2229;16.2229;16.2229;22-Oct-2014
123688;Kotak Banking and PSU Debt - Annual Dividend;16.2413;16.2413;16.2413;27-Oct-2014
123688;Kotak Banking and PSU Debt - Annual Dividend;16.2451;16.2451;16.2451;28-Oct-2014
123688;Kotak Banking and PSU Debt - Annual Dividend;16.2487;16.2487;16.2487;29-Oct-2014
123688;Kotak Banking and PSU Debt - Annual Dividend;16.2524;16.2524;16.2524;30-Oct-2014
123688;Kotak Banking and PSU Debt - Annual Dividend;16.2561;16.2561;16.2561;31-Oct-2014
123688;Kotak Banking and PSU Debt - Annual Dividend;16.2674;16.2674;16.2674;03-Nov-2014
123688;Kotak Banking and PSU Debt - Annual Dividend;16.2752;16.2752;16.2752;05-Nov-2014
123688;Kotak Banking and PSU Debt - Annual Dividend;16.2828;16.2828;16.2828;07-Nov-2014
123688;Kotak Banking and PSU Debt - Annual Dividend;16.2935;16.2935;16.2935;10-Nov-2014
123688;Kotak Banking and PSU Debt - Annual Dividend;16.2973;16.2973;16.2973;11-Nov-2014
123688;Kotak Banking and PSU Debt - Annual Dividend;16.301;16.301;16.301;12-Nov-2014
123688;Kotak Banking and PSU Debt - Annual Dividend;16.3048;16.3048;16.3048;13-Nov-2014
123688;Kotak Banking and PSU Debt - Annual Dividend;16.309;16.309;16.309;14-Nov-2014
123688;Kotak Banking and PSU Debt - Annual Dividend;16.3197;16.3197;16.3197;17-Nov-2014
123688;Kotak Banking and PSU Debt - Annual Dividend;16.3233;16.3233;16.3233;18-Nov-2014
123688;Kotak Banking and PSU Debt - Annual Dividend;16.3275;16.3275;16.3275;19-Nov-2014
123688;Kotak Banking and PSU Debt - Annual Dividend;16.3329;16.3329;16.3329;20-Nov-2014
123688;Kotak Banking and PSU Debt - Annual Dividend;16.3375;16.3375;16.3375;21-Nov-2014
123688;Kotak Banking and PSU Debt - Annual Dividend;16.3489;16.3489;16.3489;24-Nov-2014
123688;Kotak Banking and PSU Debt - Annual Dividend;16.3522;16.3522;16.3522;25-Nov-2014
123688;Kotak Banking and PSU Debt - Annual Dividend;16.3554;16.3554;16.3554;26-Nov-2014
