Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


Kotak Mahindra Mutual Fund
123688;Kotak Banking and PSU Debt - Annual Dividend;16.7931;16.7931;16.7931;02-Jan-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.8072;16.8072;16.8072;03-Jan-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.8312;16.8312;16.8312;04-Jan-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.8278;16.8278;16.8278;05-Jan-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.8308;16.8308;16.8308;06-Jan-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.8417;16.8417;16.8417;09-Jan-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.8496;16.8496;16.8496;10-Jan-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.8539;16.8539;16.8539;11-Jan-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.872;16.872;16.872;12-Jan-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.8711;16.8711;16.8711;13-Jan-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.873;16.873;16.873;16-Jan-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.8803;16.8803;16.8803;17-Jan-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.88;16.88;16.88;18-Jan-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.8755;16.8755;16.8755;19-Jan-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.8783;16.8783;16.8783;20-Jan-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.8843;16.8843;16.8843;23-Jan-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.8892;16.8892;16.8892;24-Jan-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.8932;16.8932;16.8932;25-Jan-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.9043;16.9043;16.9043;27-Jan-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.9125;16.9125;16.9125;30-Jan-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.9164;16.9164;16.9164;31-Jan-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.9166;16.9166;16.9166;01-Feb-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.9256;16.9256;16.9256;02-Feb-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.9278;16.9278;16.9278;03-Feb-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.9364;16.9364;16.9364;06-Feb-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.9384;16.9384;16.9384;07-Feb-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.8217;16.8217;16.8217;08-Feb-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.7964;16.7964;16.7964;09-Feb-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.8324;16.8324;16.8324;10-Feb-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.8471;16.8471;16.8471;13-Feb-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.8442;16.8442;16.8442;14-Feb-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.8506;16.8506;16.8506;15-Feb-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.8511;16.8511;16.8511;16-Feb-2017
