Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


Kotak Mahindra Mutual Fund
123688;Kotak Banking and PSU Debt - Annual Dividend;15.902;15.902;15.902;03-Jul-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;15.9136;15.9136;15.9136;04-Jul-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;15.929;15.929;15.929;05-Jul-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;15.9423;15.9423;15.9423;06-Jul-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;15.9477;15.9477;15.9477;07-Jul-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;15.9731;15.9731;15.9731;10-Jul-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;15.98;15.98;15.98;11-Jul-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;15.9894;15.9894;15.9894;12-Jul-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;15.9994;15.9994;15.9994;13-Jul-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.0012;16.0012;16.0012;14-Jul-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.0156;16.0156;16.0156;17-Jul-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.0254;16.0254;16.0254;18-Jul-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.0353;16.0353;16.0353;19-Jul-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.0448;16.0448;16.0448;20-Jul-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.0611;16.0611;16.0611;21-Jul-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.0728;16.0728;16.0728;24-Jul-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.0737;16.0737;16.0737;25-Jul-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.0684;16.0684;16.0684;26-Jul-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.0764;16.0764;16.0764;27-Jul-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.0756;16.0756;16.0756;28-Jul-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.079;16.079;16.079;31-Jul-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.0848;16.0848;16.0848;01-Aug-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.0933;16.0933;16.0933;02-Aug-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.1167;16.1167;16.1167;03-Aug-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.1179;16.1179;16.1179;04-Aug-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.1258;16.1258;16.1258;07-Aug-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.1276;16.1276;16.1276;08-Aug-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.1271;16.1271;16.1271;09-Aug-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.1209;16.1209;16.1209;10-Aug-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.12;16.12;16.12;11-Aug-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.129;16.129;16.129;14-Aug-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.1297;16.1297;16.1297;16-Aug-2017
123688;Kotak Banking and PSU Debt - Annual Dividend;16.1388;16.1388;16.1388;18-Aug-2017
