Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


L&T Mutual Fund
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.0641;10.0138;10.0641;02-Apr-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.0662;10.0159;10.0662;03-Apr-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.0690;10.0187;10.0690;04-Apr-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.0707;10.0203;10.0707;05-Apr-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.0774;10.0270;10.0774;08-Apr-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.0795;10.0291;10.0795;09-Apr-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.0819;10.0315;10.0819;10-Apr-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.0866;10.0362;10.0866;12-Apr-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.0948;10.0443;10.0948;15-Apr-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.0971;10.0466;10.0971;16-Apr-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.0988;10.0483;10.0988;17-Apr-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1025;10.0520;10.1025;18-Apr-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1115;10.0609;10.1115;22-Apr-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1142;10.0636;10.1142;23-Apr-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1196;10.0690;10.1196;25-Apr-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.0517;10.0014;10.0517;26-Apr-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.0582;10.0079;10.0582;29-Apr-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.0602;10.0099;10.0602;30-Apr-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.0654;10.0151;10.0654;02-May-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.0665;10.0162;10.0665;03-May-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.0728;10.0224;10.0728;06-May-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.0749;10.0245;10.0749;07-May-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.0777;10.0273;10.0777;08-May-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.0802;10.0298;10.0802;09-May-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.0819;10.0315;10.0819;10-May-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.0871;10.0367;10.0871;13-May-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.0890;10.0386;10.0890;14-May-2013
