Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


L&T Mutual Fund
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.0995;9.9480;10.0995;01-Oct-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1048;9.9532;10.1048;03-Oct-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1075;9.9559;10.1075;04-Oct-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1152;9.9635;10.1152;07-Oct-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1177;9.9659;10.1177;08-Oct-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1202;9.9684;10.1202;09-Oct-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1226;9.9708;10.1226;10-Oct-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1251;9.9732;10.1251;11-Oct-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1325;9.9805;10.1325;14-Oct-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1350;9.9830;10.1350;15-Oct-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1399;9.9878;10.1399;17-Oct-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1421;9.9900;10.1421;18-Oct-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1490;9.9968;10.1490;21-Oct-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1514;9.9991;10.1514;22-Oct-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1539;10.0016;10.1539;23-Oct-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1563;10.0040;10.1563;24-Oct-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1588;10.0064;10.1588;25-Oct-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.0861;9.9348;10.0861;28-Oct-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.0884;9.9371;10.0884;29-Oct-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.0908;9.9394;10.0908;30-Oct-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.0931;9.9417;10.0931;31-Oct-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.0954;9.9440;10.0954;01-Nov-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1045;9.9529;10.1045;05-Nov-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1066;9.9550;10.1066;06-Nov-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1089;9.9573;10.1089;07-Nov-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1103;9.9586;10.1103;08-Nov-2013
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1154;9.9637;10.1154;11-Nov-2013
