Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


L&T Mutual Fund
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1660;10.1660;10.1660;02-Jul-2014
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1700;10.1700;10.1700;03-Jul-2014
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1732;10.1732;10.1732;04-Jul-2014
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1795;10.1795;10.1795;07-Jul-2014
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1818;10.1818;10.1818;08-Jul-2014
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1828;10.1828;10.1828;09-Jul-2014
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1827;10.1827;10.1827;10-Jul-2014
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1742;10.1742;10.1742;11-Jul-2014
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1809;10.1809;10.1809;14-Jul-2014
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1854;10.1854;10.1854;15-Jul-2014
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1895;10.1895;10.1895;16-Jul-2014
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1945;10.1945;10.1945;17-Jul-2014
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1971;10.1971;10.1971;18-Jul-2014
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.2042;10.2042;10.2042;21-Jul-2014
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.2059;10.2059;10.2059;22-Jul-2014
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.2081;10.2081;10.2081;23-Jul-2014
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.2085;10.2085;10.2085;24-Jul-2014
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.2105;10.2105;10.2105;25-Jul-2014
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1566;10.1566;10.1566;28-Jul-2014
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1624;10.1624;10.1624;30-Jul-2014
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1643;10.1643;10.1643;31-Jul-2014
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1656;10.1656;10.1656;01-Aug-2014
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1744;10.1744;10.1744;04-Aug-2014
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1770;10.1770;10.1770;05-Aug-2014
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1756;10.1756;10.1756;06-Aug-2014
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1774;10.1774;10.1774;07-Aug-2014
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.1795;10.1795;10.1795;08-Aug-2014
