Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


L&T Mutual Fund
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.7773;10.7773;10.7773;02-Jan-2017
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.7832;10.7832;10.7832;03-Jan-2017
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.7924;10.7924;10.7924;04-Jan-2017
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.7947;10.7947;10.7947;05-Jan-2017
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.7949;10.7949;10.7949;06-Jan-2017
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.8011;10.8011;10.8011;09-Jan-2017
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.8045;10.8045;10.8045;10-Jan-2017
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.8068;10.8068;10.8068;11-Jan-2017
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.8166;10.8166;10.8166;12-Jan-2017
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.8122;10.8122;10.8122;13-Jan-2017
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.8109;10.8109;10.8109;16-Jan-2017
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.8162;10.8162;10.8162;17-Jan-2017
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.8159;10.8159;10.8159;18-Jan-2017
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.8101;10.8101;10.8101;19-Jan-2017
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.812;10.812;10.812;20-Jan-2017
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.8179;10.8179;10.8179;23-Jan-2017
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.821;10.821;10.821;24-Jan-2017
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.8227;10.8227;10.8227;25-Jan-2017
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.7774;10.7774;10.7774;27-Jan-2017
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.7836;10.7836;10.7836;30-Jan-2017
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.7854;10.7854;10.7854;31-Jan-2017
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.7844;10.7844;10.7844;01-Feb-2017
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.7888;10.7888;10.7888;02-Feb-2017
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.7922;10.7922;10.7922;03-Feb-2017
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.8006;10.8006;10.8006;06-Feb-2017
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.8041;10.8041;10.8041;07-Feb-2017
119794;L&T Banking and PSU Debt Fund -  Direct Plan - Monthly Dividend;10.7285;10.7285;10.7285;08-Feb-2017
