Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


Motilal Oswal Mutual Fund
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.2995;10.2995;10.2995;01-Jan-2014
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.3021;10.3021;10.3021;02-Jan-2014
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.3044;10.3044;10.3044;03-Jan-2014
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.3113;10.3113;10.3113;06-Jan-2014
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.3127;10.3127;10.3127;07-Jan-2014
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.3125;10.3125;10.3125;08-Jan-2014
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.3134;10.3134;10.3134;09-Jan-2014
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.3174;10.3174;10.3174;10-Jan-2014
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.3242;10.3242;10.3242;13-Jan-2014
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.3289;10.3289;10.3289;15-Jan-2014
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.3311;10.3311;10.3311;16-Jan-2014
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.3332;10.3332;10.3332;17-Jan-2014
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.3401;10.3401;10.3401;20-Jan-2014
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.3439;10.3439;10.3439;21-Jan-2014
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.3469;10.3469;10.3469;22-Jan-2014
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.3494;10.3494;10.3494;23-Jan-2014
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.3510;10.3510;10.3510;24-Jan-2014
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.3572;10.3572;10.3572;27-Jan-2014
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.3571;10.3571;10.3571;28-Jan-2014
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.3585;10.3585;10.3585;29-Jan-2014
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.3589;10.3589;10.3589;30-Jan-2014
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.3606;10.3606;10.3606;31-Jan-2014
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.3678;10.3678;10.3678;03-Feb-2014
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.3706;10.3706;10.3706;04-Feb-2014
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.3733;10.3733;10.3733;05-Feb-2014
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.3772;10.3772;10.3772;06-Feb-2014
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.3787;10.3787;10.3787;07-Feb-2014
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;10.3854;10.3854;10.3854;10-Feb-2014
