Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


Motilal Oswal Mutual Fund
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;11.5706;11.5706;11.5706;01-Jul-2015
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;11.5727;11.5727;11.5727;02-Jul-2015
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;11.5750;11.5750;11.5750;03-Jul-2015
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;11.5815;11.5815;11.5815;06-Jul-2015
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;11.5832;11.5832;11.5832;07-Jul-2015
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;11.5856;11.5856;11.5856;08-Jul-2015
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;11.5879;11.5879;11.5879;09-Jul-2015
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;11.5898;11.5898;11.5898;10-Jul-2015
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;11.5960;11.5960;11.5960;13-Jul-2015
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;11.5981;11.5981;11.5981;14-Jul-2015
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;11.6002;11.6002;11.6002;15-Jul-2015
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;11.6025;11.6025;11.6025;16-Jul-2015
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;11.6046;11.6046;11.6046;17-Jul-2015
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;11.6109;11.6109;11.6109;20-Jul-2015
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;11.6130;11.6130;11.6130;21-Jul-2015
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;11.6154;11.6154;11.6154;22-Jul-2015
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;11.6175;11.6175;11.6175;23-Jul-2015
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;11.6194;11.6194;11.6194;24-Jul-2015
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;11.6251;11.6251;11.6251;27-Jul-2015
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;11.6273;11.6273;11.6273;28-Jul-2015
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;11.6298;11.6298;11.6298;29-Jul-2015
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;11.6325;11.6325;11.6325;30-Jul-2015
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;11.6336;11.6336;11.6336;31-Jul-2015
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;11.6418;11.6418;11.6418;03-Aug-2015
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;11.6442;11.6442;11.6442;04-Aug-2015
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;11.6465;11.6465;11.6465;05-Aug-2015
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;11.6489;11.6489;11.6489;06-Aug-2015
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;11.6508;11.6508;11.6508;07-Aug-2015
