Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


Motilal Oswal Mutual Fund
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;12.1658;12.1658;12.1658;04-Apr-2016
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;12.1686;12.1686;12.1686;05-Apr-2016
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;12.1699;12.1699;12.1699;06-Apr-2016
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;12.1724;12.1724;12.1724;07-Apr-2016
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;12.1825;12.1825;12.1825;11-Apr-2016
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;12.1851;12.1851;12.1851;12-Apr-2016
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;12.1873;12.1873;12.1873;13-Apr-2016
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;12.1984;12.1984;12.1984;18-Apr-2016
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;12.2028;12.2028;12.2028;20-Apr-2016
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;12.2047;12.2047;12.2047;21-Apr-2016
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;12.2069;12.2069;12.2069;22-Apr-2016
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;12.2135;12.2135;12.2135;25-Apr-2016
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;12.2154;12.2154;12.2154;26-Apr-2016
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;12.2176;12.2176;12.2176;27-Apr-2016
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;12.2199;12.2199;12.2199;28-Apr-2016
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;12.2219;12.2219;12.2219;29-Apr-2016
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;12.2287;12.2287;12.2287;02-May-2016
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;12.2309;12.2309;12.2309;03-May-2016
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;12.2333;12.2333;12.2333;04-May-2016
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;12.2355;12.2355;12.2355;05-May-2016
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;12.2376;12.2376;12.2376;06-May-2016
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;12.2442;12.2442;12.2442;09-May-2016
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;12.2467;12.2467;12.2467;10-May-2016
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;12.2495;12.2495;12.2495;11-May-2016
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;12.2523;12.2523;12.2523;12-May-2016
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;12.2545;12.2545;12.2545;13-May-2016
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;12.2609;12.2609;12.2609;16-May-2016
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;12.2631;12.2631;12.2631;17-May-2016
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;12.2658;12.2658;12.2658;18-May-2016
