Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


Motilal Oswal Mutual Fund
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;13.3695;13.3695;13.3695;03-Oct-2017
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;13.3721;13.3721;13.3721;04-Oct-2017
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;13.3750;13.3750;13.3750;05-Oct-2017
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;13.3770;13.3770;13.3770;06-Oct-2017
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;13.3836;13.3836;13.3836;09-Oct-2017
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;13.3858;13.3858;13.3858;10-Oct-2017
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;13.3879;13.3879;13.3879;11-Oct-2017
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;13.3900;13.3900;13.3900;12-Oct-2017
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;13.3921;13.3921;13.3921;13-Oct-2017
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;13.3986;13.3986;13.3986;16-Oct-2017
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;13.4007;13.4007;13.4007;17-Oct-2017
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;13.4031;13.4031;13.4031;18-Oct-2017
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;13.4136;13.4136;13.4136;23-Oct-2017
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;13.4152;13.4152;13.4152;24-Oct-2017
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;13.4172;13.4172;13.4172;25-Oct-2017
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;13.4187;13.4187;13.4187;26-Oct-2017
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;13.4208;13.4208;13.4208;27-Oct-2017
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;13.4274;13.4274;13.4274;30-Oct-2017
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;13.4297;13.4297;13.4297;31-Oct-2017
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;13.4318;13.4318;13.4318;01-Nov-2017
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;13.4344;13.4344;13.4344;02-Nov-2017
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;13.4372;13.4372;13.4372;03-Nov-2017
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;13.4436;13.4436;13.4436;06-Nov-2017
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;13.4459;13.4459;13.4459;07-Nov-2017
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;13.4480;13.4480;13.4480;08-Nov-2017
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;13.4502;13.4502;13.4502;09-Nov-2017
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;13.4521;13.4521;13.4521;10-Nov-2017
124234;MOSt Ultra Short Term Bond Fund-Direct Plan- Growth;13.4584;13.4584;13.4584;13-Nov-2017
