Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


Mirae Asset Mutual Fund
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1094.3423;1094.3423;1094.3423;02-Apr-2014
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1092.6337;1092.6337;1092.6337;03-Apr-2014
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1092.8634;1092.8634;1092.8634;04-Apr-2014
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1093.5730;1093.5730;1093.5730;07-Apr-2014
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1093.9906;1093.9906;1093.9906;09-Apr-2014
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1092.7763;1092.7763;1092.7763;10-Apr-2014
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1093.0263;1093.0263;1093.0263;11-Apr-2014
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1093.9790;1093.9790;1093.9790;15-Apr-2014
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1094.2512;1094.2512;1094.2512;16-Apr-2014
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1092.9963;1092.9963;1092.9963;17-Apr-2014
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1093.9278;1093.9278;1093.9278;21-Apr-2014
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1094.1365;1094.1365;1094.1365;22-Apr-2014
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1094.3992;1094.3992;1094.3992;23-Apr-2014
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1093.3402;1093.3402;1093.3402;25-Apr-2014
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1094.0300;1094.0300;1094.0300;28-Apr-2014
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1094.2544;1094.2544;1094.2544;29-Apr-2014
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1094.5012;1094.5012;1094.5012;30-Apr-2014
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1093.5289;1093.5289;1093.5289;02-May-2014
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1094.2632;1094.2632;1094.2632;05-May-2014
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1094.5198;1094.5198;1094.5198;06-May-2014
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1094.7736;1094.7736;1094.7736;07-May-2014
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1093.4860;1093.4860;1093.4860;08-May-2014
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1093.6337;1093.6337;1093.6337;09-May-2014
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1094.4658;1094.4658;1094.4658;12-May-2014
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1094.6954;1094.6954;1094.6954;13-May-2014
