Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


Mirae Asset Mutual Fund
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1110.1699;1110.1699;1110.1699;01-Jul-2016
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1110.9269;1110.9269;1110.9269;04-Jul-2016
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1111.2625;1111.2625;1111.2625;05-Jul-2016
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1111.7175;1111.7175;1111.7175;07-Jul-2016
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1110.1341;1110.1341;1110.1341;08-Jul-2016
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1110.8146;1110.8146;1110.8146;11-Jul-2016
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1111.1478;1111.1478;1111.1478;12-Jul-2016
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1111.3969;1111.3969;1111.3969;13-Jul-2016
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1110.2493;1110.2493;1110.2493;14-Jul-2016
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1110.4740;1110.4740;1110.4740;15-Jul-2016
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1111.0734;1111.0734;1111.0734;18-Jul-2016
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1111.2447;1111.2447;1111.2447;19-Jul-2016
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1111.4518;1111.4518;1111.4518;20-Jul-2016
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1110.4069;1110.4069;1110.4069;21-Jul-2016
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1110.6135;1110.6135;1110.6135;22-Jul-2016
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1111.1182;1111.1182;1111.1182;25-Jul-2016
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1111.3159;1111.3159;1111.3159;26-Jul-2016
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1111.5026;1111.5026;1111.5026;27-Jul-2016
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1110.4995;1110.4995;1110.4995;28-Jul-2016
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1110.6524;1110.6524;1110.6524;29-Jul-2016
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1111.2008;1111.2008;1111.2008;01-Aug-2016
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1111.3974;1111.3974;1111.3974;02-Aug-2016
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1111.5625;1111.5625;1111.5625;03-Aug-2016
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1110.6122;1110.6122;1110.6122;04-Aug-2016
