Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


Mirae Asset Mutual Fund
140770;Mirae Asset Dynamic Bond Fund -Direct Plan -Dividend;10.0486;9.9984;10.0486;27-Mar-2017
140770;Mirae Asset Dynamic Bond Fund -Direct Plan -Dividend;10.0454;9.9952;10.0454;29-Mar-2017
140770;Mirae Asset Dynamic Bond Fund -Direct Plan -Dividend;10.0512;10.0009;10.0512;30-Mar-2017
140770;Mirae Asset Dynamic Bond Fund -Direct Plan -Dividend;10.0578;10.0075;10.0578;31-Mar-2017
140769;Mirae Asset Dynamic Bond Fund -Direct Plan -Growth;10.0486;9.9984;10.0486;27-Mar-2017
140769;Mirae Asset Dynamic Bond Fund -Direct Plan -Growth;10.0454;9.9952;10.0454;29-Mar-2017
140769;Mirae Asset Dynamic Bond Fund -Direct Plan -Growth;10.0512;10.0009;10.0512;30-Mar-2017
140769;Mirae Asset Dynamic Bond Fund -Direct Plan -Growth;10.0578;10.0075;10.0578;31-Mar-2017
140772;Mirae Asset Dynamic Bond Fund -Regular Plan -Dividend;10.0473;9.9971;10.0473;27-Mar-2017
140772;Mirae Asset Dynamic Bond Fund -Regular Plan -Dividend;10.0434;9.9932;10.0434;29-Mar-2017
140772;Mirae Asset Dynamic Bond Fund -Regular Plan -Dividend;10.0489;9.9987;10.0489;30-Mar-2017
140772;Mirae Asset Dynamic Bond Fund -Regular Plan -Dividend;10.0551;10.0048;10.0551;31-Mar-2017
140771;Mirae Asset Dynamic Bond Fund-Regular Plan Growth;10.0473;9.9971;10.0473;27-Mar-2017
140771;Mirae Asset Dynamic Bond Fund-Regular Plan Growth;10.0434;9.9932;10.0434;29-Mar-2017
140771;Mirae Asset Dynamic Bond Fund-Regular Plan Growth;10.0489;9.9987;10.0489;30-Mar-2017
140771;Mirae Asset Dynamic Bond Fund-Regular Plan Growth;10.0551;10.0048;10.0551;31-Mar-2017
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1115.1197;1115.1197;1115.1197;02-Jan-2017
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1115.4636;1115.4636;1115.4636;03-Jan-2017
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1116.0819;1116.0819;1116.0819;04-Jan-2017
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1113.2614;1113.2614;1113.2614;05-Jan-2017
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1113.4273;1113.4273;1113.4273;06-Jan-2017
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1113.8424;1113.8424;1113.8424;09-Jan-2017
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1114.0172;1114.0172;1114.0172;10-Jan-2017
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1114.2703;1114.2703;1114.2703;11-Jan-2017
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1113.5556;1113.5556;1113.5556;12-Jan-2017
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1113.6594;1113.6594;1113.6594;13-Jan-2017
107701;Mirae Asset Savings Bond Fund-Regular Savings Plan- Weekly Dividend;1114.1339;1114.1339;1114.1339;16-Jan-2017
