Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


Mirae Asset Mutual Fund
140770;Mirae Asset Dynamic Bond Fund -Direct Plan -Dividend;10.4162;10.3641;10.4162;03-Oct-2017
140770;Mirae Asset Dynamic Bond Fund -Direct Plan -Dividend;10.4005;10.3485;10.4005;04-Oct-2017
140770;Mirae Asset Dynamic Bond Fund -Direct Plan -Dividend;10.3955;10.3435;10.3955;05-Oct-2017
140770;Mirae Asset Dynamic Bond Fund -Direct Plan -Dividend;10.3911;10.3391;10.3911;06-Oct-2017
140770;Mirae Asset Dynamic Bond Fund -Direct Plan -Dividend;10.3902;10.3382;10.3902;09-Oct-2017
140770;Mirae Asset Dynamic Bond Fund -Direct Plan -Dividend;10.4001;10.3481;10.4001;10-Oct-2017
140770;Mirae Asset Dynamic Bond Fund -Direct Plan -Dividend;10.4058;10.3538;10.4058;11-Oct-2017
140770;Mirae Asset Dynamic Bond Fund -Direct Plan -Dividend;10.4055;10.3535;10.4055;12-Oct-2017
140770;Mirae Asset Dynamic Bond Fund -Direct Plan -Dividend;10.4167;10.3646;10.4167;13-Oct-2017
140770;Mirae Asset Dynamic Bond Fund -Direct Plan -Dividend;10.4234;10.3713;10.4234;16-Oct-2017
140770;Mirae Asset Dynamic Bond Fund -Direct Plan -Dividend;10.4163;10.3642;10.4163;17-Oct-2017
140770;Mirae Asset Dynamic Bond Fund -Direct Plan -Dividend;10.4195;10.3674;10.4195;18-Oct-2017
140770;Mirae Asset Dynamic Bond Fund -Direct Plan -Dividend;10.4152;10.3631;10.4152;23-Oct-2017
140770;Mirae Asset Dynamic Bond Fund -Direct Plan -Dividend;10.4229;10.3708;10.4229;24-Oct-2017
140770;Mirae Asset Dynamic Bond Fund -Direct Plan -Dividend;10.4164;10.3643;10.4164;25-Oct-2017
140770;Mirae Asset Dynamic Bond Fund -Direct Plan -Dividend;10.4222;10.3701;10.4222;26-Oct-2017
140770;Mirae Asset Dynamic Bond Fund -Direct Plan -Dividend;10.4207;10.3686;10.4207;27-Oct-2017
140770;Mirae Asset Dynamic Bond Fund -Direct Plan -Dividend;10.4031;10.3511;10.4031;30-Oct-2017
140770;Mirae Asset Dynamic Bond Fund -Direct Plan -Dividend;10.4162;10.3641;10.4162;31-Oct-2017
140770;Mirae Asset Dynamic Bond Fund -Direct Plan -Dividend;10.4079;10.3559;10.4079;01-Nov-2017
140770;Mirae Asset Dynamic Bond Fund -Direct Plan -Dividend;10.4201;10.3680;10.4201;02-Nov-2017
140770;Mirae Asset Dynamic Bond Fund -Direct Plan -Dividend;10.4223;10.3702;10.4223;03-Nov-2017
140770;Mirae Asset Dynamic Bond Fund -Direct Plan -Dividend;10.4190;10.3669;10.4190;06-Nov-2017
140770;Mirae Asset Dynamic Bond Fund -Direct Plan -Dividend;10.4144;10.3623;10.4144;07-Nov-2017
140770;Mirae Asset Dynamic Bond Fund -Direct Plan -Dividend;10.4112;10.3591;10.4112;08-Nov-2017
140770;Mirae Asset Dynamic Bond Fund -Direct Plan -Dividend;10.4200;10.3679;10.4200;09-Nov-2017
140770;Mirae Asset Dynamic Bond Fund -Direct Plan -Dividend;10.4106;10.3585;10.4106;10-Nov-2017
140770;Mirae Asset Dynamic Bond Fund -Direct Plan -Dividend;10.4091;10.3571;10.4091;13-Nov-2017
