Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


UTI Mutual Fund
100648;UTI - CRTS 81 - Dividend Option;132.7372;132.7372;132.7372;02-Jul-2013
100648;UTI - CRTS 81 - Dividend Option;131.9111;131.9111;131.9111;03-Jul-2013
100648;UTI - CRTS 81 - Dividend Option;132.551;132.551;132.551;04-Jul-2013
100648;UTI - CRTS 81 - Dividend Option;132.6377;132.6377;132.6377;05-Jul-2013
100648;UTI - CRTS 81 - Dividend Option;132.2604;132.2604;132.2604;08-Jul-2013
100648;UTI - CRTS 81 - Dividend Option;132.6602;132.6602;132.6602;09-Jul-2013
100648;UTI - CRTS 81 - Dividend Option;132.5148;132.5148;132.5148;10-Jul-2013
100648;UTI - CRTS 81 - Dividend Option;133.2341;133.2341;133.2341;11-Jul-2013
100648;UTI - CRTS 81 - Dividend Option;133.6983;133.6983;133.6983;12-Jul-2013
100648;UTI - CRTS 81 - Dividend Option;133.8105;133.8105;133.8105;15-Jul-2013
100648;UTI - CRTS 81 - Dividend Option;131.8016;131.8016;131.8016;16-Jul-2013
100648;UTI - CRTS 81 - Dividend Option;131.7085;131.7085;131.7085;17-Jul-2013
100648;UTI - CRTS 81 - Dividend Option;132.4767;132.4767;132.4767;18-Jul-2013
100648;UTI - CRTS 81 - Dividend Option;132.7134;132.7134;132.7134;19-Jul-2013
100648;UTI - CRTS 81 - Dividend Option;132.5142;132.5142;132.5142;22-Jul-2013
100648;UTI - CRTS 81 - Dividend Option;132.2277;132.2277;132.2277;23-Jul-2013
100648;UTI - CRTS 81 - Dividend Option;131.3326;131.3326;131.3326;24-Jul-2013
100648;UTI - CRTS 81 - Dividend Option;131.2861;131.2861;131.2861;25-Jul-2013
100648;UTI - CRTS 81 - Dividend Option;131.3633;131.3633;131.3633;26-Jul-2013
100648;UTI - CRTS 81 - Dividend Option;131.1836;131.1836;131.1836;29-Jul-2013
100648;UTI - CRTS 81 - Dividend Option;130.6285;130.6285;130.6285;30-Jul-2013
100648;UTI - CRTS 81 - Dividend Option;130.4267;130.4267;130.4267;31-Jul-2013
100648;UTI - CRTS 81 - Dividend Option;130.5302;130.5302;130.5302;01-Aug-2013
100648;UTI - CRTS 81 - Dividend Option;130.139;130.139;130.139;02-Aug-2013
100648;UTI - CRTS 81 - Dividend Option;130.4129;130.4129;130.4129;05-Aug-2013
100648;UTI - CRTS 81 - Dividend Option;129.6604;129.6604;129.6604;06-Aug-2013
100648;UTI - CRTS 81 - Dividend Option;129.9027;129.9027;129.9027;07-Aug-2013
100648;UTI - CRTS 81 - Dividend Option;130.2675;130.2675;130.2675;08-Aug-2013
100648;UTI - CRTS 81 - Dividend Option;130.4706;130.4706;130.4706;12-Aug-2013
100648;UTI - CRTS 81 - Dividend Option;130.9464;130.9464;130.9464;13-Aug-2013
100648;UTI - CRTS 81 - Dividend Option;130.8503;130.8503;130.8503;14-Aug-2013
100648;UTI - CRTS 81 - Dividend Option;129.2874;129.2874;129.2874;16-Aug-2013
100648;UTI - CRTS 81 - Dividend Option;127.6321;127.6321;127.6321;19-Aug-2013
100648;UTI - CRTS 81 - Dividend Option;128.1958;128.1958;128.1958;20-Aug-2013
100648;UTI - CRTS 81 - Dividend Option;129.1467;129.1467;129.1467;21-Aug-2013
100648;UTI - CRTS 81 - Dividend Option;129.9215;129.9215;129.9215;22-Aug-2013
