Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


UTI Mutual Fund
100648;UTI - CRTS 81 - Dividend Option;149.2482;149.2482;149.2482;01-Oct-2014
100648;UTI - CRTS 81 - Dividend Option;148.7424;148.7424;148.7424;07-Oct-2014
100648;UTI - CRTS 81 - Dividend Option;148.5982;148.5982;148.5982;08-Oct-2014
100648;UTI - CRTS 81 - Dividend Option;149.1248;149.1248;149.1248;09-Oct-2014
100648;UTI - CRTS 81 - Dividend Option;148.6182;148.6182;148.6182;10-Oct-2014
100648;UTI - CRTS 81 - Dividend Option;148.859;148.859;148.859;13-Oct-2014
100648;UTI - CRTS 81 - Dividend Option;148.9525;148.9525;148.9525;14-Oct-2014
100648;UTI - CRTS 81 - Dividend Option;148.316;148.316;148.316;16-Oct-2014
100648;UTI - CRTS 81 - Dividend Option;148.5864;148.5864;148.5864;17-Oct-2014
100648;UTI - CRTS 81 - Dividend Option;149.0451;149.0451;149.0451;20-Oct-2014
100648;UTI - CRTS 81 - Dividend Option;149.4185;149.4185;149.4185;21-Oct-2014
100648;UTI - CRTS 81 - Dividend Option;149.8521;149.8521;149.8521;22-Oct-2014
100648;UTI - CRTS 81 - Dividend Option;150.1232;150.1232;150.1232;27-Oct-2014
100648;UTI - CRTS 81 - Dividend Option;150.1435;150.1435;150.1435;28-Oct-2014
100648;UTI - CRTS 81 - Dividend Option;150.7367;150.7367;150.7367;29-Oct-2014
100648;UTI - CRTS 81 - Dividend Option;151.2318;151.2318;151.2318;30-Oct-2014
100648;UTI - CRTS 81 - Dividend Option;151.9106;151.9106;151.9106;31-Oct-2014
100648;UTI - CRTS 81 - Dividend Option;152.2638;152.2638;152.2638;03-Nov-2014
100648;UTI - CRTS 81 - Dividend Option;152.5277;152.5277;152.5277;05-Nov-2014
100648;UTI - CRTS 81 - Dividend Option;152.6965;152.6965;152.6965;07-Nov-2014
100648;UTI - CRTS 81 - Dividend Option;152.9218;152.9218;152.9218;10-Nov-2014
100648;UTI - CRTS 81 - Dividend Option;153.0434;153.0434;153.0434;11-Nov-2014
100648;UTI - CRTS 81 - Dividend Option;153.2269;153.2269;153.2269;12-Nov-2014
100648;UTI - CRTS 81 - Dividend Option;153.1045;153.1045;153.1045;13-Nov-2014
100648;UTI - CRTS 81 - Dividend Option;153.3253;153.3253;153.3253;14-Nov-2014
100648;UTI - CRTS 81 - Dividend Option;153.6756;153.6756;153.6756;17-Nov-2014
100648;UTI - CRTS 81 - Dividend Option;153.9673;153.9673;153.9673;18-Nov-2014
100648;UTI - CRTS 81 - Dividend Option;153.9322;153.9322;153.9322;19-Nov-2014
100648;UTI - CRTS 81 - Dividend Option;154.0844;154.0844;154.0844;20-Nov-2014
100648;UTI - CRTS 81 - Dividend Option;154.3235;154.3235;154.3235;21-Nov-2014
100648;UTI - CRTS 81 - Dividend Option;154.5595;154.5595;154.5595;24-Nov-2014
100648;UTI - CRTS 81 - Dividend Option;154.1961;154.1961;154.1961;25-Nov-2014
100648;UTI - CRTS 81 - Dividend Option;154.2489;154.2489;154.2489;26-Nov-2014
100648;UTI - CRTS 81 - Dividend Option;154.3383;154.3383;154.3383;27-Nov-2014
100648;UTI - CRTS 81 - Dividend Option;154.9293;154.9293;154.9293;28-Nov-2014
100648;UTI - CRTS 81 - Dividend Option;154.8062;154.8062;154.8062;01-Dec-2014
