Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


UTI Mutual Fund
100648;UTI - CRTS 81 - Dividend Option;142.9005;142.9005;142.9005;04-Apr-2016
100648;UTI - CRTS 81 - Dividend Option;142.0689;142.0689;142.0689;05-Apr-2016
100648;UTI - CRTS 81 - Dividend Option;142.3111;142.3111;142.3111;06-Apr-2016
100648;UTI - CRTS 81 - Dividend Option;142.087;142.087;142.087;07-Apr-2016
100648;UTI - CRTS 81 - Dividend Option;143.0594;143.0594;143.0594;11-Apr-2016
100648;UTI - CRTS 81 - Dividend Option;143.32;143.32;143.32;12-Apr-2016
100648;UTI - CRTS 81 - Dividend Option;144.0227;144.0227;144.0227;13-Apr-2016
100648;UTI - CRTS 81 - Dividend Option;144.5016;144.5016;144.5016;18-Apr-2016
100648;UTI - CRTS 81 - Dividend Option;144.6945;144.6945;144.6945;20-Apr-2016
100648;UTI - CRTS 81 - Dividend Option;144.434;144.434;144.434;21-Apr-2016
100648;UTI - CRTS 81 - Dividend Option;144.4862;144.4862;144.4862;22-Apr-2016
100648;UTI - CRTS 81 - Dividend Option;144.3287;144.3287;144.3287;25-Apr-2016
100648;UTI - CRTS 81 - Dividend Option;144.9292;144.9292;144.9292;26-Apr-2016
100648;UTI - CRTS 81 - Dividend Option;145.0142;145.0142;145.0142;27-Apr-2016
100648;UTI - CRTS 81 - Dividend Option;144.3439;144.3439;144.3439;28-Apr-2016
100648;UTI - CRTS 81 - Dividend Option;144.4771;144.4771;144.4771;29-Apr-2016
100648;UTI - CRTS 81 - Dividend Option;144.4967;144.4967;144.4967;02-May-2016
100648;UTI - CRTS 81 - Dividend Option;144.2424;144.2424;144.2424;03-May-2016
100648;UTI - CRTS 81 - Dividend Option;143.9391;143.9391;143.9391;04-May-2016
100648;UTI - CRTS 81 - Dividend Option;143.9817;143.9817;143.9817;05-May-2016
100648;UTI - CRTS 81 - Dividend Option;144.0717;144.0717;144.0717;06-May-2016
100648;UTI - CRTS 81 - Dividend Option;144.8817;144.8817;144.8817;09-May-2016
100648;UTI - CRTS 81 - Dividend Option;144.9357;144.9357;144.9357;10-May-2016
100648;UTI - CRTS 81 - Dividend Option;144.9269;144.9269;144.9269;11-May-2016
100648;UTI - CRTS 81 - Dividend Option;145.2743;145.2743;145.2743;12-May-2016
100648;UTI - CRTS 81 - Dividend Option;144.9542;144.9542;144.9542;13-May-2016
100648;UTI - CRTS 81 - Dividend Option;145.2073;145.2073;145.2073;16-May-2016
100648;UTI - CRTS 81 - Dividend Option;145.3213;145.3213;145.3213;17-May-2016
100648;UTI - CRTS 81 - Dividend Option;145.3801;145.3801;145.3801;18-May-2016
100648;UTI - CRTS 81 - Dividend Option;144.9711;144.9711;144.9711;19-May-2016
100648;UTI - CRTS 81 - Dividend Option;144.7534;144.7534;144.7534;20-May-2016
100648;UTI - CRTS 81 - Dividend Option;144.7459;144.7459;144.7459;23-May-2016
100648;UTI - CRTS 81 - Dividend Option;144.8338;144.8338;144.8338;24-May-2016
100648;UTI - CRTS 81 - Dividend Option;145.683;145.683;145.683;25-May-2016
100648;UTI - CRTS 81 - Dividend Option;146.2048;146.2048;146.2048;26-May-2016
100648;UTI - CRTS 81 - Dividend Option;146.5056;146.5056;146.5056;27-May-2016
100648;UTI - CRTS 81 - Dividend Option;146.8705;146.8705;146.8705;30-May-2016
