Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


UTI Mutual Fund
100648;UTI - CRTS 81 - Dividend Option;142.7606;142.7606;142.7606;01-Jan-2016
100648;UTI - CRTS 81 - Dividend Option;142.2072;142.2072;142.2072;04-Jan-2016
100648;UTI - CRTS 81 - Dividend Option;142.5478;142.5478;142.5478;05-Jan-2016
100648;UTI - CRTS 81 - Dividend Option;142.3552;142.3552;142.3552;06-Jan-2016
100648;UTI - CRTS 81 - Dividend Option;141.4083;141.4083;141.4083;07-Jan-2016
100648;UTI - CRTS 81 - Dividend Option;141.7375;141.7375;141.7375;08-Jan-2016
100648;UTI - CRTS 81 - Dividend Option;141.479;141.479;141.479;11-Jan-2016
100648;UTI - CRTS 81 - Dividend Option;141.0911;141.0911;141.0911;12-Jan-2016
100648;UTI - CRTS 81 - Dividend Option;140.9164;140.9164;140.9164;13-Jan-2016
100648;UTI - CRTS 81 - Dividend Option;140.5176;140.5176;140.5176;14-Jan-2016
100648;UTI - CRTS 81 - Dividend Option;139.5994;139.5994;139.5994;15-Jan-2016
100648;UTI - CRTS 81 - Dividend Option;138.743;138.743;138.743;18-Jan-2016
100648;UTI - CRTS 81 - Dividend Option;139.3212;139.3212;139.3212;19-Jan-2016
100648;UTI - CRTS 81 - Dividend Option;138.6432;138.6432;138.6432;20-Jan-2016
100648;UTI - CRTS 81 - Dividend Option;138.7745;138.7745;138.7745;21-Jan-2016
100648;UTI - CRTS 81 - Dividend Option;139.3153;139.3153;139.3153;22-Jan-2016
100648;UTI - CRTS 81 - Dividend Option;139.4236;139.4236;139.4236;25-Jan-2016
100648;UTI - CRTS 81 - Dividend Option;139.5075;139.5075;139.5075;27-Jan-2016
100648;UTI - CRTS 81 - Dividend Option;139.4462;139.4462;139.4462;28-Jan-2016
100648;UTI - CRTS 81 - Dividend Option;140.1799;140.1799;140.1799;29-Jan-2016
100648;UTI - CRTS 81 - Dividend Option;140.1529;140.1529;140.1529;01-Feb-2016
100648;UTI - CRTS 81 - Dividend Option;139.4819;139.4819;139.4819;02-Feb-2016
100648;UTI - CRTS 81 - Dividend Option;138.7529;138.7529;138.7529;03-Feb-2016
100648;UTI - CRTS 81 - Dividend Option;139.0317;139.0317;139.0317;04-Feb-2016
100648;UTI - CRTS 81 - Dividend Option;139.5189;139.5189;139.5189;05-Feb-2016
100648;UTI - CRTS 81 - Dividend Option;139.1643;139.1643;139.1643;08-Feb-2016
100648;UTI - CRTS 81 - Dividend Option;138.7157;138.7157;138.7157;09-Feb-2016
100648;UTI - CRTS 81 - Dividend Option;138.4273;138.4273;138.4273;10-Feb-2016
100648;UTI - CRTS 81 - Dividend Option;137.0019;137.0019;137.0019;11-Feb-2016
100648;UTI - CRTS 81 - Dividend Option;136.7018;136.7018;136.7018;12-Feb-2016
100648;UTI - CRTS 81 - Dividend Option;137.8167;137.8167;137.8167;15-Feb-2016
100648;UTI - CRTS 81 - Dividend Option;137.1017;137.1017;137.1017;16-Feb-2016
100648;UTI - CRTS 81 - Dividend Option;137.2554;137.2554;137.2554;17-Feb-2016
100648;UTI - CRTS 81 - Dividend Option;137.6609;137.6609;137.6609;18-Feb-2016
100648;UTI - CRTS 81 - Dividend Option;137.7952;137.7952;137.7952;22-Feb-2016
100648;UTI - CRTS 81 - Dividend Option;136.9119;136.9119;136.9119;23-Feb-2016
