scode,sname,amccode
128953,Axis Banking & PSU Debt Fund - Bonus Option,53
117447,Axis Banking & PSU Debt Fund - Daily Dividend Option,53
128952,Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,53
120437,Axis Banking & PSU Debt Fund - Direct Plan - Daily Dividend Option,53
120438,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,53
120439,Axis Banking & PSU Debt Fund - Direct Plan - Monthly Dividend Option,53
120436,Axis Banking & PSU Debt Fund - Direct Plan - Weekly Dividend Option,53
117446,Axis Banking & PSU Debt Fund - Growth option,53
117449,Axis Banking & PSU Debt Fund - Monthly Dividend Option,53
117448,Axis Banking & PSU Debt Fund - Weekly Dividend option,53
135765,Axis Children's Gift Fund - Lock in - Direct Dividend,53
135762,Axis Children's Gift Fund - Lock in - Direct Growth,53
135760,Axis Children's Gift Fund - Lock in - Dividend,53
135759,Axis Children's Gift Fund - Lock in - Growth,53
135763,Axis Children's Gift Fund - without Lock in - Direct Dividend,53
135764,Axis Children's Gift Fund - without Lock in - Direct Growth,53
135761,Axis Children's Gift Fund - without Lock in - Dividend,53
135766,Axis Children's Gift Fund - without Lock in - Growth,53
128957,Axis Constant Maturity 10 Year Fund - Direct Plan - Bonus Option,53
120448,Axis Constant Maturity 10 Year Fund - Direct Plan - Half Yearly Dividend Option,53
120449,Axis Constant Maturity 10 Year Fund - Direct Plan - Regular Dividend Option,53
116471,Axis Constant Maturity 10 Year Fund - Growth Option,53
116472,Axis Constant Maturity 10 Year Fund - Half Yearly Dividend Option,53
116470,Axis Constant Maturity 10 Year Fund - Regular Dividend Option,53
120447,Axis Constatnt Maturity 10 Year Fund - Direct Plan - Growth Option,53
115131,Axis Dynamic Bond Fund  - Half Yearly Dividend option,53
120451,Axis Dynamic Bond Fund - Direct Plan - Growth Option,53
120450,Axis Dynamic Bond Fund - Direct Plan - Half Yearly Dividend Option,53
120452,Axis Dynamic Bond Fund - Direct Plan - Quarterly Dividend Option,53
115068,Axis Dynamic Bond Fund - Growth Option,53
115069,Axis Dynamic Bond Fund - Quarterly Dividend option,53
130774,Axis Enhanced Arbitrage Fund - Direct Plan - Dividend,53
130773,Axis Enhanced Arbitrage Fund - Direct Plan - Growth,53
130776,Axis Enhanced Arbitrage Fund - Regular Plan - Dividend,53
130771,Axis Enhanced Arbitrage Fund - Regular Plan - Growth,53
120466,Axis Equity Fund - Direct Plan - Dividend,53
120465,Axis Equity Fund - Direct Plan - Growth,53
112278,Axis Equity Fund - Dividend,53
112277,Axis Equity Fund - Growth,53
135120,Axis Equity Saver Fund - Direct Plan - Growth,53
135121,Axis Equity Saver Fund - Direct Plan - Monthly Dividend,53
135124,Axis Equity Saver Fund - Direct Plan - Quarterly Dividend,53
139520,Axis Equity Saver Fund - Direct Plan - Regular Dividend,53
135122,Axis Equity Saver Fund - Regular Plan - Growth,53
135123,Axis Equity Saver Fund - Regular Plan - Monthly Dividend,53
135125,Axis Equity Saver Fund - Regular Plan - Quarterly Dividend,53
139521,Axis Equity Saver Fund - Regular Plan - Regular Dividend,53
130314,Axis Fixed Income Opportunities Fund - Direct Plan - Growth,53
130312,Axis Fixed Income opportunities Fund - Direct Plan - Monthly Dividend,53
130311,Axis Fixed Income Opportunities Fund - Direct Plan - Weekly Dividend,53
130309,Axis Fixed Income Opportunities Fund - Regular Plan - Growth,53
130313,Axis Fixed Income Opportunities Fund - Regular Plan - Monthly Dividend,53
130310,Axis Fixed Income opportunities Fund - Regular Plan - weekly Dividend,53
120467,Axis Focused 25 Fund - Direct Plan - Dividend Option,53
120468,Axis Focused 25 Fund - Direct Plan - Growth Option,53
117559,Axis Focused 25 Fund - Dividend Option,53
117560,Axis Focused 25 Fund - Growth Option,53
113434,Axis Gold ETF,53
120472,Axis Gold Fund - Direct Plan - Dividend option,53
120473,Axis Gold Fund - Direct Plan - Growth option,53
115898,Axis Gold Fund - Dividend Option,53
115897,Axis Gold Fund - Growth Option,53
120477,Axis Income Saver - Direct Plan - Dividend Option - Annual Dividend Option,53
120480,Axis Income Saver - Direct Plan - Growth Option,53
120478,Axis Income Saver - Direct Plan - Half Yearly,53
120479,Axis Income Saver - Direct Plan - Quarterly,53
112927,Axis Income Saver - Dividend Option - Annual Dividend Option,53
112926,Axis Income Saver - Dividend Option - Half Yearly,53
112925,Axis Income Saver - Dividend Option - Quarterly,53
112924,Axis Income Saver -Growth Option,53
112211,Axis Liquid Fund - Daily Dividend Option,53
