scode,sname,nav,date
129009,Franklin India Banking & PSU Debt Fund - Direct - Dividend,10.8563,4-Dec-17
129009,Franklin India Banking & PSU Debt Fund - Direct - Dividend,10.8569,5-Dec-17
129009,Franklin India Banking & PSU Debt Fund - Direct - Dividend,10.8609,6-Dec-17
129009,Franklin India Banking & PSU Debt Fund - Direct - Dividend,10.8631,7-Dec-17
129009,Franklin India Banking & PSU Debt Fund - Direct - Dividend,10.863,8-Dec-17
129009,Franklin India Banking & PSU Debt Fund - Direct - Dividend,10.858,11-Dec-17
129009,Franklin India Banking & PSU Debt Fund - Direct - Dividend,10.8563,12-Dec-17
129009,Franklin India Banking & PSU Debt Fund - Direct - Dividend,10.8536,13-Dec-17
129009,Franklin India Banking & PSU Debt Fund - Direct - Dividend,10.8527,14-Dec-17
129009,Franklin India Banking & PSU Debt Fund - Direct - Dividend,10.8495,15-Dec-17
129009,Franklin India Banking & PSU Debt Fund - Direct - Dividend,10.6537,18-Dec-17
129009,Franklin India Banking & PSU Debt Fund - Direct - Dividend,10.6542,19-Dec-17
129009,Franklin India Banking & PSU Debt Fund - Direct - Dividend,10.6456,20-Dec-17
129009,Franklin India Banking & PSU Debt Fund - Direct - Dividend,10.6389,21-Dec-17
129009,Franklin India Banking & PSU Debt Fund - Direct - Dividend,10.6406,22-Dec-17
129009,Franklin India Banking & PSU Debt Fund - Direct - Dividend,10.6412,26-Dec-17
129009,Franklin India Banking & PSU Debt Fund - Direct - Dividend,10.6445,27-Dec-17
129009,Franklin India Banking & PSU Debt Fund - Direct - Dividend,10.6121,28-Dec-17
129009,Franklin India Banking & PSU Debt Fund - Direct - Dividend,10.6346,29-Dec-17
129009,Franklin India Banking & PSU Debt Fund - Direct - Dividend,10.6406,1-Jan-18
129009,Franklin India Banking & PSU Debt Fund - Direct - Dividend,10.6345,2-Jan-18
129008,Franklin India Banking & PSU Debt Fund - Direct - Growth,13.7273,4-Dec-17
129008,Franklin India Banking & PSU Debt Fund - Direct - Growth,13.728,5-Dec-17
129008,Franklin India Banking & PSU Debt Fund - Direct - Growth,13.7331,6-Dec-17
129008,Franklin India Banking & PSU Debt Fund - Direct - Growth,13.7358,7-Dec-17
129008,Franklin India Banking & PSU Debt Fund - Direct - Growth,13.7357,8-Dec-17
129008,Franklin India Banking & PSU Debt Fund - Direct - Growth,13.7295,11-Dec-17
129008,Franklin India Banking & PSU Debt Fund - Direct - Growth,13.7273,12-Dec-17
129008,Franklin India Banking & PSU Debt Fund - Direct - Growth,13.7239,13-Dec-17
129008,Franklin India Banking & PSU Debt Fund - Direct - Growth,13.7227,14-Dec-17
129008,Franklin India Banking & PSU Debt Fund - Direct - Growth,13.7187,15-Dec-17
129008,Franklin India Banking & PSU Debt Fund - Direct - Growth,13.724,18-Dec-17
129008,Franklin India Banking & PSU Debt Fund - Direct - Growth,13.7247,19-Dec-17
129008,Franklin India Banking & PSU Debt Fund - Direct - Growth,13.7136,20-Dec-17
129008,Franklin India Banking & PSU Debt Fund - Direct - Growth,13.705,21-Dec-17
129008,Franklin India Banking & PSU Debt Fund - Direct - Growth,13.7072,22-Dec-17
